index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
307,5,10,0.159,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.766
308,6,0,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.644
309,6,1,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.707
310,6,2,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.717
311,6,3,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.725
312,6,4,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.724
313,6,5,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.729
314,6,6,0.857,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.853
315,6,7,0.682,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.806
316,6,8,0.581,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.795
317,6,9,0.425,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.783
318,6,10,0.329,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.791
319,7,0,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.607
320,7,1,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.634
321,7,2,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.655
322,7,3,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.628
323,7,4,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.649
324,7,5,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.68
325,7,6,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.666
326,7,7,0.773,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.776
327,7,8,0.657,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.744
